Transaction ID,Date,User ID,Book Title,Genre,Borrowing Duration (Days)
T00021,2025-09-29,U0100,An Ordinary Genius,Biography,6
T01387,2025-03-20,U0102,Revolutions of the Mind,History,20
T00556,2025-08-10,U0085,The Last Colony Ship,Science Fiction,11
T00281,2025-03-17,U0083,A Century of Silence,History,14
T00035,2025-07-26,U0008,Rising: A Memoir,Biography,14
T00342,2025-09-12,U0024,The Dragon's Ledger,Fantasy,4
T01492,2025-06-04,U0084,Habits That Stick,Self-Help,12
T00375,2025-01-24,U0011,The Forgotten Treaty,History,11
T00067,2025-04-01,U0021,Quantum Drift,Science Fiction,21
T00263,2025-08-21,U0054,Neon Horizon,Science Fiction,5
T01243,2025-11-17,U0051,The Discipline of Small Wins,Self-Help,8
T00723,2025-09-25,U0050,A Thousand Quiet Rooms,Fiction,1
T00065,2025-12-08,U0032,The Last Colony Ship,Science Fiction,14
T01176,2025-05-21,U0089,Echoes of Andromeda,Science Fiction,8
T01138,2025-11-07,U0035,Notes from a Quiet Life,Biography,21
T01071,2025-02-10,U0063,The Last Colony Ship,Science Fiction,8
T00870,2025-12-29,U0010,Life in the Margins,Biography,12
T01056,2025-04-09,U0057,Empires of Sand,History,42
T01024,2025-11-22,U0096,Crown of Thorned Vines,Fantasy,4
T01018,2025-05-15,U0014,The Merchant Kingdoms,History,23
T01086,2025-01-12,U0041,Neon Horizon,Science Fiction,22
T00296,2025-12-14,U0072,Detective Rao's Final Case,Mystery,8
T01260,2025-06-19,U0094,Crown of Thorned Vines,Fantasy,13
T00863,2025-10-29,U0097,Rising: A Memoir,Biography,7
T01458,2025-11-01,U0026,The Last Colony Ship,Science Fiction,8
T01212,2025-05-26,U0103,A Century of Silence,History,14
T00490,2025-10-07,U0018,Detective Rao's Final Case,Mystery,14
T00078,2025-10-03,U0067,The Sorcerer's Apprentice,Fantasy,13
T00691,2025-09-27,U0109,Habits That Stick,Self-Help,17
T00480,2025-09-03,U0016,A Century of Silence,History,13
T00135,2025-01-09,U0102,Crown of Thorned Vines,Fantasy,3
T01033,2025-12-22,U0104,Revolutions of the Mind,History,22
T00812,2025-02-23,U0021,A Century of Silence,History,10
T00258,2025-11-15,U0072,The Sorcerer's Apprentice,Fantasy,16
T00828,2025-11-06,U0012,The Silent Orchard,Fiction,3
T00714,2025-03-20,U0063,Life in the Margins,Biography,14
T00319,2025-05-01,U0048,Kingdom of Ash and Ember,Fantasy,15
T01198,2025-09-12,U0012,The Vanishing Hour,Mystery,4
T00703,2025-05-12,U0045,Atomic Focus,Self-Help,11
T00301,2025-12-10,U0017,Detective Rao's Final Case,Mystery,31
T00614,2025-12-04,U0109,The Silent Orchard,Fiction,25
T01369,2025-10-25,U0097,The Art of Deep Rest,Self-Help,9
T00608,2025-11-29,U0079,Life in the Margins,Biography,9
T01183,2025-11-17,U0060,Midnight in Avalon,Fiction,15
T00991,2025-06-27,U0065,An Ordinary Genius,Biography,10
T01159,2025-09-26,U0011,Rising: A Memoir,Biography,9
T00443,2025-07-11,U0078,Crown of Thorned Vines,Fantasy,10
T00071,2025-06-29,U0059,Empires of Sand,History,13
T01201,2025-03-20,U0065,Crown of Thorned Vines,Fantasy,12
T00278,2025-07-22,U0011,Kingdom of Ash and Ember,Fantasy,15
T01130,2025-08-18,U0043,Revolutions of the Mind,History,25
T00261,2025-03-15,U0024,Detective Rao's Final Case,Mystery,9
T00351,2025-07-07,U0083,Quantum Drift,Science Fiction,13
T00360,2025-12-31,U0021,Case of the Broken Compass,Mystery,10
T01113,2025-10-03,U0095,Detective Rao's Final Case,Mystery,2
T01191,2025-06-21,U0115,The Forgotten Treaty,History,17
T00223,2025-11-29,U0039,Revolutions of the Mind,History,16
T00901,2025-02-04,U0086,The Cartographer's Daughter,Fiction,14
T00747,2025-01-30,U0026,The Forgotten Treaty,History,6
T00644,2025-05-30,U0026,The Silent Orchard,Fiction,9
T00756,2025-11-04,U0023,Echoes of Andromeda,Science Fiction,12
T00459,2025-08-26,U0039,The Art of Deep Rest,Self-Help,10
T00081,2025-06-03,U0116,Echoes of Andromeda,Science Fiction,9
T00765,2025-01-14,U0018,The Locked Library,Mystery,16
T00138,2025-06-06,U0035,The Discipline of Small Wins,Self-Help,14
T00649,2025-06-07,U0094,The Forgotten Treaty,History,12
T01286,2025-11-23,U0077,Neon Horizon,Science Fiction,14
T00473,2025-08-26,U0104,Rewire Your Mornings,Self-Help,1
T01163,2025-08-17,U0094,Shadows on Elm Street,Mystery,17
T00210,2025-12-04,U0099,The Art of Deep Rest,Self-Help,13
T01244,2025-08-11,U0049,The Dragon's Ledger,Fantasy,8
T00010,2025-07-22,U0064,Neon Horizon,Science Fiction,8
T00468,2025-06-03,U0053,An Ordinary Genius,Biography,1
T01308,2025-04-08,U0057,The Forgotten Treaty,History,15
T00137,2025-10-09,U0055,An Ordinary Genius,Biography,8
T00544,2025-12-13,U0083,A Thousand Quiet Rooms,Fiction,18
T00462,2025-01-09,U0099,The Sorcerer's Apprentice,Fantasy,17
T00720,2025-05-18,U0029,Crown of Thorned Vines,Fantasy,15
T00053,2025-05-06,U0113,The Forgotten Treaty,History,25
T00097,2025-08-17,U0071,Empires of Sand,History,5
T01081,2025-07-10,U0109,The Merchant Kingdoms,History,4
T01349,2025-09-25,U0053,Quantum Drift,Science Fiction,8
T01331,2025-06-04,U0101,Rising: A Memoir,Biography,16
T00722,2025-10-29,U0097,The Sorcerer's Apprentice,Fantasy,2
T00182,2025-06-02,U0093,The Silent Orchard,Fiction,4
T01372,2025-03-04,U0107,An Ordinary Genius,Biography,16
T00058,2025-06-25,U0092,The Long Road Home,Biography,8
T01344,2025-08-23,U0018,The Dragon's Ledger,Fantasy,1
T00799,2025-05-15,U0100,Notes from a Quiet Life,Biography,17
T00280,2025-06-28,U0025,An Ordinary Genius,Biography,15
T00622,2025-09-17,U0051,A Century of Silence,History,9
T00295,2025-11-03,U0087,Habits That Stick,Self-Help,8
T00585,2025-01-31,U0053,The Art of Deep Rest,Self-Help,14
T01373,2025-09-30,U0106,An Ordinary Genius,Biography,6
T01107,2025-01-13,U0084,Detective Rao's Final Case,Mystery,14
T01193,2025-10-02,U0072,Atomic Focus,Self-Help,48
T00077,2025-07-17,U0015,The Merchant Kingdoms,History,12
T00482,2025-10-01,U0060,Case of the Broken Compass,Mystery,17
T00463,2025-01-18,U0077,The Cartographer's Daughter,Fiction,6
T01041,2025-03-16,U0108,Detective Rao's Final Case,Mystery,14
T00988,2025-10-22,U0113,Revolutions of the Mind,History,15
T00367,2025-10-10,U0100,The Forgotten Treaty,History,7
T00272,2025-09-14,U0030,An Ordinary Genius,Biography,13
T01026,2025-08-15,U0012,Quantum Drift,Science Fiction,9
T01153,2025-03-14,U0116,Atomic Focus,Self-Help,10
T00897,2025-06-26,U0116,The Art of Deep Rest,Self-Help,21
T00255,2025-11-04,U0037,The Art of Deep Rest,Self-Help,17
T00941,2025-03-18,U0054,An Ordinary Genius,Biography,17
T00051,2025-11-15,U0059,The Cartographer's Daughter,Fiction,21
T01101,2025-01-26,U0096,Crown of Thorned Vines,Fantasy,16
T00494,2025-04-22,U0002,The Discipline of Small Wins,Self-Help,6
T00477,2025-01-21,U0078,Rising: A Memoir,Biography,15
T00767,2025-04-08,U0105,The Merchant Kingdoms,History,9
T01208,2025-06-14,U0027,Rising: A Memoir,Biography,10
T01231,2025-11-02,U0076,Crown of Thorned Vines,Fantasy,8
T00249,2025-06-23,U0053,The Forgotten Treaty,History,4
T00439,2025-02-01,U0031,Detective Rao's Final Case,Mystery,13
T00214,2025-05-20,U0065,The Dragon's Ledger,Fantasy,11
T00692,2025-10-28,U0051,A Century of Silence,History,10
T01366,2025-07-07,U0006,Crown of Thorned Vines,Fantasy,13
T00713,2025-02-19,U0031,Case of the Broken Compass,Mystery,48
T00075,2025-10-25,U0023,A Century of Silence,History,11
T01462,2025-05-23,U0066,The Merchant Kingdoms,History,9
T00256,2025-04-25,U0062,Echoes of Andromeda,Science Fiction,16
T00861,2025-05-09,U0002,Life in the Margins,Biography,11
T00661,2025-06-17,U0028,The Long Road Home,Biography,20
T01084,2025-05-26,U0005,The Silent Orchard,Fiction,16
T00697,2025-12-26,U0001,The Last Colony Ship,Science Fiction,1
T00139,2025-12-20,U0069,Midnight in Avalon,Fiction,14
T00602,2025-09-02,U0028,Midnight in Avalon,Fiction,13
T01454,2025-07-08,U0087,Empires of Sand,History,18
T00557,2025-07-19,U0055,Crown of Thorned Vines,Fantasy,36
T01070,2025-01-07,U0010,The Long Road Home,Biography,17
T00132,2025-06-24,U0034,Detective Rao's Final Case,Mystery,1
T01288,2025-04-05,U0103,Rising: A Memoir,Biography,10
T01248,2025-02-13,U0018,A Century of Silence,History,16
T00706,2025-12-18,U0084,The Forgotten Treaty,History,16
T00235,2025-11-02,U0101,Habits That Stick,Self-Help,57
T00399,2025-06-03,U0095,The Merchant Kingdoms,History,4
T00330,2025-10-11,U0065,An Ordinary Genius,Biography,57
T01134,2025-03-02,U0069,The Cartographer's Daughter,Fiction,10
T00605,2025-07-16,U0030,Crown of Thorned Vines,Fantasy,12
T00956,2025-12-28,U0100,Life in the Margins,Biography,19
T01300,2025-09-09,U0099,An Ordinary Genius,Biography,4
T00224,2025-06-05,U0005,Echoes of Andromeda,Science Fiction,15
T00444,2025-10-03,U0061,Life in the Margins,Biography,16
T00538,2025-07-29,U0009,Empires of Sand,History,15
T00851,2025-10-26,U0062,Detective Rao's Final Case,Mystery,8
T00389,2025-12-11,U0084,The Forgotten Treaty,History,14
T00260,2025-06-08,U0090,The Last Colony Ship,Science Fiction,7
T00944,2025-12-14,U0100,Revolutions of the Mind,History,5
T01468,2025-05-14,U0065,The Last Rune Keeper,Fantasy,14
T00288,2025-02-16,U0083,Case of the Broken Compass,Mystery,13
T00653,2025-09-16,U0013,Midnight in Avalon,Fiction,23
T01008,2025-08-17,U0063,Rising: A Memoir,Biography,8
T00875,2025-11-25,U0031,Detective Rao's Final Case,Mystery,1
T00152,2025-04-17,U0098,Midnight in Avalon,Fiction,11
T01456,2025-07-22,U0019,Midnight in Avalon,Fiction,9
T01208,2025-06-14,U0027,Rising: A Memoir,Biography,10
T00628,2025-03-01,U0056,Midnight in Avalon,Fiction,7
T01232,2025-08-16,U0106,Life in the Margins,Biography,14
T00409,2025-10-15,U0027,Echoes of Andromeda,Science Fiction,9
T00275,2025-11-24,U0091,Life in the Margins,Biography,12
T00438,2025-10-21,U0075,Detective Rao's Final Case,Mystery,50
T00717,2025-07-23,U0101,Midnight in Avalon,Fiction,11
T00831,2025-08-31,U0077,Habits That Stick,Self-Help,7
T00942,2025-09-30,U0113,The Long Road Home,Biography,23
T01335,2025-08-31,U0117,Atomic Focus,Self-Help,19
T00359,2025-06-27,U0086,The Merchant Kingdoms,History,7
T00915,2025-05-29,U0076,Revolutions of the Mind,History,9
T01487,2025-08-12,U0047,Notes from a Quiet Life,Biography,1
T00730,2025-10-12,U0050,The Cartographer's Daughter,Fiction,4
T00500,2025-02-10,U0051,The Vanishing Hour,Mystery,5
T00769,2025-12-03,U0022,Case of the Broken Compass,Mystery,13
T00270,2025-03-12,U0099,A Century of Silence,History,10
T00989,2025-09-19,U0098,Crown of Thorned Vines,Fantasy,13
T00226,2025-10-04,U0090,A Century of Silence,History,11
T00110,2025-07-21,U0117,An Ordinary Genius,Biography,10
T00204,2025-07-16,U0026,Empires of Sand,History,16
T00119,2025-02-25,U0040,Empires of Sand,History,9
T00421,2025-12-09,U0007,Quantum Drift,Science Fiction,12
T00402,2025-12-19,U0112,Revolutions of the Mind,History,14
T00850,2025-12-30,U0042,Atomic Focus,Self-Help,10
T00458,2025-09-28,U0051,The Merchant Kingdoms,History,23
T00790,2025-04-19,U0017,The Art of Deep Rest,Self-Help,8
T01412,2025-06-04,U0106,Whispers of the Tide,Fiction,9
T00456,2025-07-13,U0112,The Dragon's Ledger,Fantasy,8
T00284,2025-10-17,U0113,Atomic Focus,Self-Help,8
T00548,2025-09-05,U0004,Echoes of Andromeda,Science Fiction,3
T00106,2025-08-03,U0107,The Forgotten Treaty,History,10
T00393,2025-11-16,U0036,The Art of Deep Rest,Self-Help,15
T00159,2025-05-28,U0118,Empires of Sand,History,4
T00398,2025-06-13,U0079,Detective Rao's Final Case,Mystery,7
T00103,2025-08-04,U0107,A Thousand Quiet Rooms,Fiction,17
T01152,2025-11-10,U0038,The Last Colony Ship,Science Fiction,7
T00679,2025-08-30,U0008,Habits That Stick,Self-Help,14
T01057,2025-05-09,U0018,Detective Rao's Final Case,Mystery,5
T00014,2025-12-15,U0021,Echoes of Andromeda,Science Fiction,1
T01257,2025-11-19,U0061,Midnight in Avalon,Fiction,14
T00286,2025-05-21,U0102,Rising: A Memoir,Biography,14
T00770,2025-10-14,U0034,Echoes of Andromeda,Science Fiction,14
T01209,2025-03-02,U0086,Habits That Stick,Self-Help,19
T01063,2025-11-14,U0047,Notes from a Quiet Life,Biography,10
T00111,2025-08-25,U0111,The Sorcerer's Apprentice,Fantasy,9
T00632,2025-05-18,U0100,Echoes of Andromeda,Science Fiction,-3
T01219,2025-08-22,U0013,The Discipline of Small Wins,Self-Help,17
T00834,2025-01-24,U0014,The Dragon's Ledger,Fantasy,1
T00654,2025-10-31,U0010,Empires of Sand,History,1
T01449,2025-02-26,U0060,The Locked Library,Mystery,17
T01469,2025-01-17,U0098,The Silent Orchard,Fiction,5
T00337,2025-04-13,U0102,The Last Colony Ship,Science Fiction,11
T00631,2025-05-13,U0093,Habits That Stick,Self-Help,9
T01228,2025-04-17,U0044,The Dragon's Ledger,Fantasy,3
T00594,2025-10-17,U0017,Life in the Margins,Biography,16
T00018,2025-05-15,U0001,Echoes of Andromeda,Science Fiction,16
T00032,2025-10-20,U0120,Echoes of Andromeda,Science Fiction,12
T00044,2025-01-30,U0041,A Thousand Quiet Rooms,Fiction,1
T01040,2025-09-13,U0103,The Locked Library,Mystery,1
T01028,2025-12-19,U0002,Crown of Thorned Vines,Fantasy,18
T01017,2025-07-23,U0099,,Fiction,9
T00225,2025-08-21,U0050,An Ordinary Genius,Biography,14
T00792,2025-10-01,U0099,Rising: A Memoir,Biography,10
T00672,2025-01-18,U0020,The Sorcerer's Apprentice,Fantasy,9
T01383,2025-06-06,U0115,Life in the Margins,Biography,10
T01151,2025-07-23,U0057,The Last Colony Ship,Science Fiction,12
T01045,2025-02-18,U0059,The Silent Orchard,Fiction,15
T01090,2025-07-24,U0074,Case of the Broken Compass,Mystery,12
T00123,2025-01-22,U0101,The Merchant Kingdoms,History,10
T00776,2025-04-13,U0018,The Forgotten Treaty,History,13
T00056,2025-02-23,U0085,Case of the Broken Compass,Mystery,13
T00701,2025-02-15,U0082,The Locked Library,Mystery,7
T00474,2025-07-18,U0018,Life in the Margins,Biography,5
T00719,2025-08-17,U0024,The Dragon's Ledger,Fantasy,44
T00798,2025-02-24,U0015,Midnight in Avalon,Fiction,17
T00777,2025-08-23,U0115,The Merchant Kingdoms,History,14
T01371,2025-05-22,U0055,An Ordinary Genius,Biography,7
T00015,2025-11-02,U0049,A Thousand Quiet Rooms,Fiction,1
T00649,2025-06-07,U0094,The Forgotten Treaty,History,12
T00973,2025-02-07,U0072,An Ordinary Genius,Biography,10
T00160,2025-12-25,U0039,Crown of Thorned Vines,Fantasy,10
T00888,2025-11-13,U0093,The Silent Orchard,Fiction,11
T01328,2025-03-15,U0027,Atomic Focus,Self-Help,2
T01377,2025-04-15,U0020,Echoes of Andromeda,Science Fiction,8
T00908,2025-06-06,U0046,Crown of Thorned Vines,Fantasy,1
T01049,2025-05-01,U0015,Neon Horizon,Science Fiction,4
T01002,2025-10-18,U0072,Case of the Broken Compass,Mystery,33
T00116,2025-01-11,U0026,A Century of Silence,History,12
T00013,2025-09-18,U0018,Neon Horizon,Science Fiction,12
T00641,2025-01-27,U0116,An Ordinary Genius,Biography,14
T00615,2025-09-18,U0078,The Last Colony Ship,Science Fiction,5
T01124,2025-06-04,U0081,Detective Rao's Final Case,Mystery,16
T01419,2025-05-13,U0003,The Art of Deep Rest,Self-Help,6
T00201,2025-08-27,U0002,Beyond the Event Horizon,Science Fiction,13
T00577,2025-06-02,U0032,Rising: A Memoir,Biography,16
T00162,2025-05-09,U0078,The Art of Deep Rest,Self-Help,37
T00963,2025-12-31,U0037,Rising: A Memoir,Biography,9
T00967,2025-12-02,U0031,The Silent Orchard,Fiction,35
T00216,2025-08-28,U0015,Detective Rao's Final Case,Mystery,21
T01253,2025-10-23,U0070,Kingdom of Ash and Ember,Fantasy,19
T00953,2025-05-22,U0079,Life in the Margins,Biography,19
T00115,2025-01-21,U0084,The Cartographer's Daughter,Fiction,10
T00023,2025-02-10,U0073,Quantum Drift,Science Fiction,9
T01303,2025-07-25,U0039,Detective Rao's Final Case,Mystery,7
T01211,2025-06-13,U0071,An Ordinary Genius,Biography,10
T01188,2025-03-31,U0004,Life in the Margins,Biography,17
T01157,2025-12-21,U0042,Midnight in Avalon,Fiction,11
T01354,2025-01-18,U0065,The Art of Deep Rest,Self-Help,3
T00452,2025-04-22,U0096,Empires of Sand,History,17
T00570,2025-12-17,U0053,Rising: A Memoir,Biography,17
T00209,2025-11-14,U0025,Neon Horizon,Science Fiction,22
T00446,2025-02-09,U0047,An Ordinary Genius,Biography,20
T01271,2025-05-02,U0050,The Sorcerer's Apprentice,Fantasy,11
T00027,2025-11-29,U0086,The Locked Library,Mystery,17
T00911,2025-02-08,U0094,Rising: A Memoir,Biography,16
T00618,2025-06-12,U0120,The Merchant Kingdoms,History,9
T00992,2025-09-23,U0090,The Merchant Kingdoms,History,8
T00859,2025-12-21,U0037,Habits That Stick,Self-Help,22
T00785,2025-03-08,U0040,The Forgotten Treaty,History,6
T00940,2025-09-25,U0026,Midnight in Avalon,Fiction,17
T00882,2025-10-03,U0027,Empires of Sand,History,20
T01112,2025-08-19,U0040,Empires of Sand,History,16
T00768,2025-12-10,U0061,Rising: A Memoir,Biography,3
T00141,2025-04-10,U0013,Case of the Broken Compass,Mystery,10
T00982,2025-04-04,U0035,Revolutions of the Mind,History,12
T00968,2025-07-24,U0036,Midnight in Avalon,Fiction,15
T01108,2025-11-12,U0045,The Last Colony Ship,Science Fiction,14
T00741,2025-02-20,U0088,The Forgotten Treaty,History,12
T00339,2025-04-08,U0083,The Silent Orchard,Fiction,5
T01076,2025-10-13,U0023,Rising: A Memoir,Biography,11
T01168,2025-04-17,U0072,Notes from a Quiet Life,Biography,34
T00656,2025-06-17,U0107,The Dragon's Ledger,Fantasy,11
T00676,2025-07-03,U0049,The Silent Orchard,Fiction,11
T01227,2025-03-23,U0071,Notes from a Quiet Life,Biography,15
T00396,2025-01-24,U0006,Kingdom of Ash and Ember,Fantasy,52
T00794,2025-03-05,U0049,The Sorcerer's Apprentice,Fantasy,10
T01295,2025-11-26,U0079,The Sorcerer's Apprentice,Fantasy,16
T01297,2025-08-17,U0033,Life in the Margins,Biography,45
T01221,2025-07-06,U0034,Revolutions of the Mind,History,10
T00283,2025-09-10,U0081,A Century of Silence,History,4
T01025,2025-06-27,U0117,An Ordinary Genius,Biography,15
T00362,2025-09-10,U0102,Echoes of Andromeda,Science Fiction,47
T00507,2025-12-17,U0010,A Thousand Quiet Rooms,Fiction,18
T00880,2025-10-03,U0022,A Century of Silence,History,18
T00143,2025-12-24,U0038,A Thousand Quiet Rooms,Fiction,13
T01466,2025-02-19,U0080,Case of the Broken Compass,Mystery,N/A
T00611,2025-10-29,U0016,Echoes of Andromeda,Science Fiction,8
T00327,2025-10-22,U0066,The Silent Orchard,Fiction,15
T00810,2025-12-20,U0050,The Vanishing Hour,Mystery,20
T00004,2025-07-09,U0021,Empires of Sand,History,16
T01009,2025-03-27,U0019,Rising: A Memoir,Biography,15
T00835,2025-02-24,U0053,The Art of Deep Rest,Self-Help,12
T01190,2025-11-18,U0020,Echoes of Andromeda,Science Fiction,12
T00981,2025-10-11,U0010,Empires of Sand,History,6
T00378,2025-09-05,U0039,Rising: A Memoir,Biography,14
T00985,2025-07-02,U0080,Beyond the Event Horizon,Science Fiction,22
T01185,2025-04-19,U0082,Life in the Margins,Biography,36
T00592,2025-10-01,U0009,Detective Rao's Final Case,Mystery,14
T00120,2025-12-13,U0074,A Century of Silence,History,1
T01119,2025-04-29,U0050,The Forgotten Treaty,History,4
T00984,2025-04-28,U0027,The Forgotten Treaty,History,21
T01177,2025-02-25,U0008,The Last Colony Ship,Science Fiction,14
T00321,2025-05-27,U0005,Echoes of Andromeda,Science Fiction,1
T00563,2025-11-11,U0039,The Discipline of Small Wins,Self-Help,9
T01477,2025-01-24,U0076,A Thousand Quiet Rooms,Fiction,7
T00383,2025-03-14,U0032,The Vanishing Hour,Mystery,18
T00408,2025-08-30,U0079,An Ordinary Genius,Biography,11
T00958,2025-04-20,U0013,A Century of Silence,History,14
T00479,2025-06-05,U0043,The Forgotten Treaty,History,26
T00447,2025-10-21,U0026,Revolutions of the Mind,History,19
T01060,2025-03-24,U0071,Revolutions of the Mind,History,23
T00762,2025-05-22,U0042,Case of the Broken Compass,Mystery,12
T00630,2025-01-06,U0090,Rewire Your Mornings,Self-Help,18
T01432,2025-08-15,U0105,Detective Rao's Final Case,Mystery,12
T00099,2025-09-06,U0067,Habits That Stick,Self-Help,20
T01214,2025-12-12,U0116,The Silent Orchard,Fiction,10
T00237,2025-01-14,U0085,The Last Colony Ship,Science Fiction,5
T01428,2025-04-24,U0065,Neon Horizon,Science Fiction,10
T00416,2025-07-14,U0070,Life in the Margins,Biography,7
T01379,2025-11-27,U0095,The Sorcerer's Apprentice,Fantasy,36
T00609,2025-11-18,U0028,Detective Rao's Final Case,Mystery,19
T00199,2025-07-15,U0079,The Last Colony Ship,Science Fiction,8
T01318,2025-02-28,U0014,Empires of Sand,History,19
T00308,2025-03-26,U0116,Rising: A Memoir,Biography,20
T00193,2025-09-07,U0092,The Locked Library,Mystery,7
T00181,2025-09-17,U0120,The Sorcerer's Apprentice,Fantasy,22
T00712,2025-10-04,U0093,The Discipline of Small Wins,Self-Help,15
T00797,2025-08-03,U0018,The Long Road Home,Biography,19
T00228,2025-01-17,U0036,A Century of Silence,History,13
T00344,2025-04-03,U0106,The Long Road Home,Biography,10
T00016,2025-12-15,U0002,The Forgotten Treaty,History,9
T00406,2025-04-08,U0015,A Century of Silence,History,40
T00040,2025-07-25,U0028,Crown of Thorned Vines,Fantasy,12
T00843,2025-06-14,U0078,Rising: A Memoir,Biography,1
T00333,2025-10-25,U0099,Rising: A Memoir,Biography,20
T00404,2025-09-03,U0075,The Art of Deep Rest,Self-Help,4
T00664,2025-05-08,U0071,Life in the Margins,Biography,20
T00685,2025-10-16,U0073,Detective Rao's Final Case,Mystery,22
T00202,2025-02-07,U0021,Atomic Focus,Self-Help,7
T01085,2025-06-04,U0114,An Ordinary Genius,Biography,37
T00251,2025-08-31,U0088,A Century of Silence,History,13
T00361,2025-07-05,U0023,The Discipline of Small Wins,Self-Help,14
T00357,2025-03-04,U0026,The Merchant Kingdoms,History,15
T00574,2025-02-28,U0074,An Ordinary Genius,Biography,5
T00212,2025-03-09,U0047,The Silent Orchard,Fiction,9
T01004,2025-02-19,U0081,Crown of Thorned Vines,Fantasy,9
T01262,2025-10-16,U0094,The Art of Deep Rest,Self-Help,14
T00005,2025-12-16,U0090,Rising: A Memoir,Biography,9
T00740,2025-05-24,U0040,Habits That Stick,Self-Help,15
T00244,2025-06-14,U0011,The Cartographer's Daughter,Fiction,12
T00513,2025-04-29,U0056,A Thousand Quiet Rooms,Fiction,11
T00002,2025-12-05,U0006,The Discipline of Small Wins,Self-Help,5
T01036,2025-12-25,U0035,Notes from a Quiet Life,Biography,12
T00069,2025-05-08,U0104,The Forgotten Treaty,History,12
T00355,2025-10-15,U0050,The Last Rune Keeper,Fantasy,13
T01356,2025-01-07,U0097,Midnight in Avalon,Fiction,8
T00842,2025-03-07,U0105,The Last Colony Ship,Science Fiction,7
T01051,2025-12-20,U0075,A Century of Silence,History,14
T00236,2025-10-04,U0017,The Merchant Kingdoms,History,7
T01441,2025-05-23,U0109,Midnight in Avalon,Fiction,17
T00175,2025-03-23,U0091,Habits That Stick,Self-Help,13
T01486,2025-12-08,U0098,An Ordinary Genius,Biography,7
T00340,2025-12-02,U0007,The Forgotten Treaty,History,16
T01440,2025-10-28,U0027,Revolutions of the Mind,History,14
T01351,2025-05-07,U0032,The Art of Deep Rest,Self-Help,21
T00232,2025-11-02,U0082,Neon Horizon,Science Fiction,17
T01451,2025-05-26,U0050,The Last Rune Keeper,Fantasy,9
T01092,2025-10-23,U0090,Revolutions of the Mind,History,19
